id,origin,surface,category,name,kind,in_default_scope,status,availability,support,numpy_signature,numsharp_target,numsharp_signatures,numsharp_source_paths,numsharp_source_urls,numsharp_obsolete,notes,documentation_url
numpy.busday_count,numpy,np,Date & time,busday_count,function,True,missing,missing,missing,"(begindates, enddates, weekmask='1111100', holidays=(), busdaycal=None, out=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.busday_count.html
numpy.busday_offset,numpy,np,Date & time,busday_offset,function,True,missing,missing,missing,"(dates, offsets, roll='raise', weekmask='1111100', holidays=None, busdaycal=None, out=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.busday_offset.html
numpy.busdaycalendar,numpy,np,Types,busdaycalendar,class,False,missing,missing,missing,"(weekmask='1111100', holidays=None)",,,,,False,,
numpy.byte,numpy,np,Types,byte,class,False,available,exact,declared,"(value=0, /)",NumSharp.np.byte,readonly System.Type byte,src/NumSharp.Core/APIs/np.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cs,False,,
numpy.bytes_,numpy,np,Types,bytes_,class,False,missing,missing,missing,"(value='', /, *args, **kwargs)",,,,,False,,
numpy.c_,numpy,np,Types & constants,c_,constant,False,missing,missing,missing,Signature unavailable from runtime introspection,,,,,False,,
numpy.can_cast,numpy,np,Dtype & promotion,can_cast,function,True,available,exact,declared,"(from_, to, casting='safe')",NumSharp.np.can_cast,"bool can_cast(NumSharp.NDArray from, NumSharp.NPTypeCode to, string casting = ""safe"") | bool can_cast(NumSharp.NPTypeCode from, NumSharp.NPTypeCode to, string casting = ""safe"") | bool can_cast(System.Type from, System.Type to, string casting = ""safe"") | bool can_cast(bool value, NumSharp.NPTypeCode to, string casting = ""safe"") | bool can_cast(byte value, NumSharp.NPTypeCode to, string casting = ""safe"") | bool can_cast(decimal value, NumSharp.NPTypeCode to, string casting = ""safe"") | bool can_cast(double value, NumSharp.NPTypeCode to, string casting = ""safe"") | bool can_cast(float value, NumSharp.NPTypeCode to, string casting = ""safe"") | bool can_cast(int value, NumSharp.NPTypeCode to, string casting = ""safe"") | bool can_cast(long value, NumSharp.NPTypeCode to, string casting = ""safe"") | bool can_cast(object value, NumSharp.NPTypeCode to, string casting = ""safe"") | bool can_cast(short value, NumSharp.NPTypeCode to, string casting = ""safe"") | bool can_cast(string casting = ""safe"") | bool can_cast(uint value, NumSharp.NPTypeCode to, string casting = ""safe"") | bool can_cast(ulong value, NumSharp.NPTypeCode to, string casting = ""safe"") | bool can_cast(ushort value, NumSharp.NPTypeCode to, string casting = ""safe"")",src/NumSharp.Core/Logic/np.can_cast.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Logic/np.can_cast.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.can_cast.html
numpy.cbrt,numpy,np,Math,cbrt,ufunc,True,available,exact,declared,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True, signature=None)",NumSharp.np.cbrt,"NumSharp.NDArray cbrt(NumSharp.NDArray x, NumSharp.NDArray out = null, NumSharp.NDArray where = null, NumSharp.NPTypeCode? dtype = null) | NumSharp.NDArray cbrt(NumSharp.NDArray x, NumSharp.NPTypeCode dtype) | NumSharp.NDArray cbrt(NumSharp.NDArray x, System.Type dtype)",src/NumSharp.Core/Math/np.cbrt.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Math/np.cbrt.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.cbrt.html
numpy.cdouble,numpy,np,Types,cdouble,class,False,available,exact,declared,"(real=0, imag=0, /)",NumSharp.np.cdouble,readonly System.Type cdouble,src/NumSharp.Core/APIs/np.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cs,False,,
numpy.ceil,numpy,np,Math,ceil,ufunc,True,available,exact,declared,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True, signature=None)",NumSharp.np.ceil,"NumSharp.NDArray ceil(NumSharp.NDArray x, NumSharp.NDArray out = null, NumSharp.NDArray where = null, NumSharp.NPTypeCode? dtype = null) | NumSharp.NDArray ceil(NumSharp.NDArray x, NumSharp.NPTypeCode dtype) | NumSharp.NDArray ceil(NumSharp.NDArray x, System.Type dtype)",src/NumSharp.Core/Math/np.ceil.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Math/np.ceil.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ceil.html
numpy.char,numpy,np,Namespaces,char,module,False,available,exact,declared,Signature unavailable from runtime introspection,NumSharp.np.char,readonly System.Type char,src/NumSharp.Core/APIs/np.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cs,False,,
numpy.character,numpy,np,Types,character,class,False,missing,missing,missing,(),,,,,False,,
numpy.choose,numpy,np,Indexing & selection,choose,function,True,missing,missing,missing,"(a, choices, out=None, mode='raise')",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.choose.html
numpy.clip,numpy,np,Math,clip,function,True,available,exact,declared,"(a, a_min=<no value>, a_max=<no value>, out=None, *, min=<no value>, max=<no value>, **kwargs)",NumSharp.np.clip,"NumSharp.NDArray clip(NumSharp.NDArray a, NumSharp.NDArray a_min = null, NumSharp.NDArray a_max = null, NumSharp.NDArray out = null, NumSharp.NPTypeCode? dtype = null, NumSharp.NDArray min = null, NumSharp.NDArray max = null) | NumSharp.NDArray clip(NumSharp.NDArray a, NumSharp.NDArray a_min, NumSharp.NDArray a_max, System.Type dtype)",src/NumSharp.Core/Math/np.clip.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Math/np.clip.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.clip.html
numpy.clongdouble,numpy,np,Types,clongdouble,class,False,available,exact,declared,"(real=0, imag=0, /)",NumSharp.np.clongdouble,readonly System.Type clongdouble,src/NumSharp.Core/APIs/np.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cs,False,,
numpy.column_stack,numpy,np,Shape manipulation,column_stack,function,True,available,exact,declared,(tup),NumSharp.np.column_stack,NumSharp.NDArray column_stack(params NumSharp.NDArray[] tup),src/NumSharp.Core/Creation/np.column_stack.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Creation/np.column_stack.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.column_stack.html
numpy.common_type,numpy,np,Dtype & promotion,common_type,function,True,available,exact,declared,(*arrays),NumSharp.np.common_type,System.Type common_type(params NumSharp.NDArray[] arrays),src/NumSharp.Core/Logic/np.common_type.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Logic/np.common_type.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.common_type.html
numpy.complex128,numpy,np,Types,complex128,class,False,available,exact,declared,"(real=0, imag=0, /)",NumSharp.np.complex128,readonly System.Type complex128,src/NumSharp.Core/APIs/np.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cs,False,,
numpy.complex64,numpy,np,Types,complex64,class,False,unsupported,exact,unsupported,"(real=0, imag=0, /)",NumSharp.np.complex64,System.Type complex64 { get; },src/NumSharp.Core/APIs/np.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cs,False,"The public compatibility symbol exists, but NumSharp does not implement a Complex64 storage dtype.",
numpy.complexfloating,numpy,np,Types,complexfloating,class,False,missing,missing,missing,(),,,,,False,,
numpy.compress,numpy,np,Indexing & selection,compress,function,True,available,exact,declared,"(condition, a, axis=None, out=None)",NumSharp.np.compress,"NumSharp.NDArray compress(NumSharp.NDArray condition, NumSharp.NDArray a, int? axis = null, NumSharp.NDArray out = null)",src/NumSharp.Core/Indexing/np.compress.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Indexing/np.compress.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.compress.html
numpy.concat,numpy,np,Shape manipulation,concat,function,True,available,exact,declared,"(arrays, /, axis=0, out=None, *, dtype=None, casting='same_kind')",NumSharp.np.concat,"NumSharp.NDArray concat(NumSharp.NDArray[] arrays, int? axis = 0, NumSharp.NDArray out = null, NumSharp.NPTypeCode? dtype = null, string casting = ""same_kind"") | NumSharp.NDArray concat(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray>> arrays, int axis = 0) | NumSharp.NDArray concat(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, System.ValueTuple<NumSharp.NDArray>> arrays, int axis = 0) | NumSharp.NDArray concat(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray> arrays, int axis = 0) | NumSharp.NDArray concat(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray> arrays, int axis = 0) | NumSharp.NDArray concat(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray> arrays, int axis = 0) | NumSharp.NDArray concat(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray> arrays, int axis = 0) | NumSharp.NDArray concat(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray> arrays, int axis = 0) | NumSharp.NDArray concat(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray> arrays, int axis = 0)",src/NumSharp.Core/Creation/np.concat.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Creation/np.concat.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.concat.html
numpy.concatenate,numpy,np,Shape manipulation,concatenate,function,True,available,exact,declared,"(arrays, /, axis=0, out=None, *, dtype=None, casting='same_kind')",NumSharp.np.concatenate,"NumSharp.NDArray concatenate(NumSharp.NDArray[] arrays, int? axis = 0, NumSharp.NDArray out = null, NumSharp.NPTypeCode? dtype = null, string casting = ""same_kind"") | NumSharp.NDArray concatenate(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray>> arrays, int axis = 0) | NumSharp.NDArray concatenate(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, System.ValueTuple<NumSharp.NDArray>> arrays, int axis = 0) | NumSharp.NDArray concatenate(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray> arrays, int axis = 0) | NumSharp.NDArray concatenate(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray> arrays, int axis = 0) | NumSharp.NDArray concatenate(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray> arrays, int axis = 0) | NumSharp.NDArray concatenate(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray> arrays, int axis = 0) | NumSharp.NDArray concatenate(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray, NumSharp.NDArray> arrays, int axis = 0) | NumSharp.NDArray concatenate(System.ValueTuple<NumSharp.NDArray, NumSharp.NDArray> arrays, int axis = 0)",src/NumSharp.Core/Creation/np.concatenate.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Creation/np.concatenate.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.concatenate.html
numpy.conj,numpy,np,Math,conj,ufunc,True,missing,missing,missing,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True, signature=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.conj.html
numpy.conjugate,numpy,np,Math,conjugate,ufunc,True,missing,missing,missing,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True, signature=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.conjugate.html
numpy.convolve,numpy,np,Math,convolve,function,True,available,exact,declared,"(a, v, mode='full')",NumSharp.np.convolve,"NumSharp.NDArray convolve(NumSharp.NDArray a, NumSharp.NDArray v, string mode = ""full"")",src/NumSharp.Core/Math/np.math.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Math/np.math.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.convolve.html
numpy.copy,numpy,np,Array creation,copy,function,True,available,exact,declared,"(a, order='K', subok=False)",NumSharp.np.copy,"NumSharp.NDArray copy(NumSharp.NDArray a, char order = 'K')",src/NumSharp.Core/Creation/np.copy.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Creation/np.copy.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.copy.html
numpy.copysign,numpy,np,Math,copysign,ufunc,True,missing,missing,missing,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True, signature=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.copysign.html
numpy.copyto,numpy,np,Array metadata & memory,copyto,function,True,available,exact,declared,"(dst, src, casting='same_kind', where=True)",NumSharp.np.copyto,"void copyto(NumSharp.NDArray dst, NumSharp.NDArray src, string casting = ""same_kind"", NumSharp.NDArray where = null)",src/NumSharp.Core/Manipulation/np.copyto.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Manipulation/np.copyto.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.copyto.html
numpy.core,numpy,np,Namespaces,core,module,False,missing,missing,missing,The `numpy.core` submodule exists solely for backward compatibility,,,,,False,,
numpy.corrcoef,numpy,np,Statistics & histograms,corrcoef,function,True,missing,missing,missing,"(x, y=None, rowvar=True, *, dtype=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.corrcoef.html
numpy.correlate,numpy,np,Statistics & histograms,correlate,function,True,missing,missing,missing,"(a, v, mode='valid')",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.correlate.html
numpy.cos,numpy,np,Math,cos,ufunc,True,available,exact,declared,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True, signature=None)",NumSharp.np.cos,"NumSharp.NDArray cos(NumSharp.NDArray x, NumSharp.NDArray out = null, NumSharp.NDArray where = null, NumSharp.NPTypeCode? dtype = null) | NumSharp.NDArray cos(NumSharp.NDArray x, NumSharp.NPTypeCode dtype) | NumSharp.NDArray cos(NumSharp.NDArray x, System.Type dtype)",src/NumSharp.Core/Math/np.cos.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Math/np.cos.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.cos.html
numpy.cosh,numpy,np,Math,cosh,ufunc,True,available,exact,declared,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True, signature=None)",NumSharp.np.cosh,"NumSharp.NDArray cosh(NumSharp.NDArray x, NumSharp.NDArray out = null, NumSharp.NDArray where = null, NumSharp.NPTypeCode? dtype = null) | NumSharp.NDArray cosh(NumSharp.NDArray x, NumSharp.NPTypeCode dtype) | NumSharp.NDArray cosh(NumSharp.NDArray x, System.Type dtype)",src/NumSharp.Core/Math/np.cos.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Math/np.cos.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.cosh.html
numpy.count_nonzero,numpy,np,Reductions,count_nonzero,function,True,available,exact,declared,"(a, axis=None, *, keepdims=False)",NumSharp.np.count_nonzero,"NumSharp.NDArray count_nonzero(NumSharp.NDArray a, int axis, bool keepdims = false) | long count_nonzero(NumSharp.NDArray a)",src/NumSharp.Core/APIs/np.count_nonzero.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.count_nonzero.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.count_nonzero.html
numpy.cov,numpy,np,Statistics & histograms,cov,function,True,missing,missing,missing,"(m, y=None, rowvar=True, bias=False, ddof=None, fweights=None, aweights=None, *, dtype=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.cov.html
numpy.cross,numpy,np,Math,cross,function,True,missing,missing,missing,"(a, b, axisa=-1, axisb=-1, axisc=-1, axis=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.cross.html
numpy.csingle,numpy,np,Types,csingle,class,False,available,exact,declared,"(real=0, imag=0, /)",NumSharp.np.csingle,System.Type csingle { get; },src/NumSharp.Core/APIs/np.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cs,False,,
numpy.ctypeslib,numpy,np,Namespaces,ctypeslib,module,False,missing,missing,missing,Signature unavailable from runtime introspection,,,,,False,,
numpy.cumprod,numpy,np,Reductions,cumprod,function,True,available,exact,declared,"(a, axis=None, dtype=None, out=None)",NumSharp.np.cumprod,"NumSharp.NDArray cumprod(NumSharp.NDArray arr, int? axis = null, NumSharp.NPTypeCode? typeCode = null)",src/NumSharp.Core/APIs/np.cumprod.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cumprod.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.cumprod.html
numpy.cumsum,numpy,np,Reductions,cumsum,function,True,available,exact,declared,"(a, axis=None, dtype=None, out=None)",NumSharp.np.cumsum,"NumSharp.NDArray cumsum(NumSharp.NDArray arr, int? axis = null, NumSharp.NPTypeCode? typeCode = null)",src/NumSharp.Core/APIs/np.cumsum.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cumsum.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.cumsum.html
numpy.cumulative_prod,numpy,np,Reductions,cumulative_prod,function,True,available,alias,declared,"(x, /, *, axis=None, dtype=None, out=None, include_initial=False)",NumSharp.np.cumprod,"NumSharp.NDArray cumprod(NumSharp.NDArray arr, int? axis = null, NumSharp.NPTypeCode? typeCode = null)",src/NumSharp.Core/APIs/np.cumprod.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cumprod.cs,False,NumSharp exposes the established cumprod spelling.,https://numpy.org/doc/stable/reference/generated/numpy.cumulative_prod.html
numpy.cumulative_sum,numpy,np,Reductions,cumulative_sum,function,True,available,alias,declared,"(x, /, *, axis=None, dtype=None, out=None, include_initial=False)",NumSharp.np.cumsum,"NumSharp.NDArray cumsum(NumSharp.NDArray arr, int? axis = null, NumSharp.NPTypeCode? typeCode = null)",src/NumSharp.Core/APIs/np.cumsum.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cumsum.cs,False,NumSharp exposes the established cumsum spelling.,https://numpy.org/doc/stable/reference/generated/numpy.cumulative_sum.html
numpy.datetime64,numpy,np,Types,datetime64,class,False,missing,missing,missing,"(value=None, /, *args)",,,,,False,,
numpy.datetime_as_string,numpy,np,Date & time,datetime_as_string,function,True,missing,missing,missing,"(arr, unit=None, timezone='naive', casting='same_kind')",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.datetime_as_string.html
numpy.datetime_data,numpy,np,Date & time,datetime_data,function,True,missing,missing,missing,"(dtype, /)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.datetime_data.html
numpy.deg2rad,numpy,np,Math,deg2rad,ufunc,True,available,exact,declared,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True, signature=None)",NumSharp.np.deg2rad,"NumSharp.NDArray deg2rad(NumSharp.NDArray x, NumSharp.NDArray out = null, NumSharp.NDArray where = null, NumSharp.NPTypeCode? dtype = null) | NumSharp.NDArray deg2rad(NumSharp.NDArray x, NumSharp.NPTypeCode dtype) | NumSharp.NDArray deg2rad(NumSharp.NDArray x, System.Type dtype)",src/NumSharp.Core/Math/np.deg2rad.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Math/np.deg2rad.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.deg2rad.html
numpy.degrees,numpy,np,Math,degrees,ufunc,True,available,exact,declared,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True, signature=None)",NumSharp.np.degrees,"NumSharp.NDArray degrees(NumSharp.NDArray x, NumSharp.NDArray out = null, NumSharp.NDArray where = null, NumSharp.NPTypeCode? dtype = null) | NumSharp.NDArray degrees(NumSharp.NDArray x, NumSharp.NPTypeCode dtype) | NumSharp.NDArray degrees(NumSharp.NDArray x, System.Type dtype)",src/NumSharp.Core/Math/np.rad2deg.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Math/np.rad2deg.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.degrees.html
numpy.delete,numpy,np,Shape manipulation,delete,function,True,available,exact,declared,"(arr, obj, axis=None)",NumSharp.np.delete,"NumSharp.NDArray delete(NumSharp.NDArray arr, NumSharp.NDArray obj, int? axis = null) | NumSharp.NDArray delete(NumSharp.NDArray arr, NumSharp.Slice obj, int? axis = null) | NumSharp.NDArray delete(NumSharp.NDArray arr, bool[] obj, int? axis = null) | NumSharp.NDArray delete(NumSharp.NDArray arr, int obj, int? axis = null) | NumSharp.NDArray delete(NumSharp.NDArray arr, int[] obj, int? axis = null) | NumSharp.NDArray delete(NumSharp.NDArray arr, long obj, int? axis = null) | NumSharp.NDArray delete(NumSharp.NDArray arr, long[] obj, int? axis = null)",src/NumSharp.Core/Manipulation/np.delete.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Manipulation/np.delete.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.delete.html
numpy.diag,numpy,np,Linear algebra,diag,function,True,missing,missing,missing,"(v, k=0)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.diag.html
numpy.diag_indices,numpy,np,Indexing & selection,diag_indices,function,True,missing,missing,missing,"(n, ndim=2)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.diag_indices.html
numpy.diag_indices_from,numpy,np,Indexing & selection,diag_indices_from,function,True,missing,missing,missing,(arr),,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.diag_indices_from.html
numpy.diagflat,numpy,np,Linear algebra,diagflat,function,True,missing,missing,missing,"(v, k=0)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.diagflat.html
numpy.diagonal,numpy,np,Linear algebra,diagonal,function,True,available,exact,declared,"(a, offset=0, axis1=0, axis2=1)",NumSharp.np.diagonal,"NumSharp.NDArray diagonal(NumSharp.NDArray a, int offset = 0, int axis1 = 0, int axis2 = 1)",src/NumSharp.Core/Indexing/np.diagonal.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Indexing/np.diagonal.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.diagonal.html
numpy.diff,numpy,np,Math,diff,function,True,available,exact,declared,"(a, n=1, axis=-1, prepend=<no value>, append=<no value>)",NumSharp.np.diff,"NumSharp.NDArray diff(NumSharp.NDArray a, int n = 1, int axis = -1, object prepend = null, object append = null)",src/NumSharp.Core/Math/np.diff.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Math/np.diff.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.diff.html
numpy.digitize,numpy,np,Statistics & histograms,digitize,function,True,missing,missing,missing,"(x, bins, right=False)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.digitize.html
numpy.divide,numpy,np,Math,divide,ufunc,True,available,exact,declared,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True, signature=None)",NumSharp.np.divide,"NumSharp.NDArray divide(NumSharp.NDArray x1, NumSharp.NDArray x2, NumSharp.NDArray out = null, NumSharp.NDArray where = null, NumSharp.NPTypeCode? dtype = null)",src/NumSharp.Core/Math/np.math.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Math/np.math.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.divide.html
numpy.divmod,numpy,np,Math,divmod,ufunc,True,missing,missing,missing,"(x1, x2, /, out=(None, None), *, where=True, casting='same_kind', order='K', dtype=None, subok=True, signature=None)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.divmod.html
numpy.dot,numpy,np,Math,dot,function,True,available,exact,declared,"(a, b, out=None)",NumSharp.np.dot,"NumSharp.NDArray dot(NumSharp.NDArray a, NumSharp.NDArray b)",src/NumSharp.Core/LinearAlgebra/np.dot.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/LinearAlgebra/np.dot.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.dot.html
numpy.double,numpy,np,Types,double,class,False,available,exact,declared,"(value=0, /)",NumSharp.np.double,readonly System.Type double,src/NumSharp.Core/APIs/np.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cs,False,,
numpy.dsplit,numpy,np,Shape manipulation,dsplit,function,True,available,exact,declared,"(ary, indices_or_sections)",NumSharp.np.dsplit,"NumSharp.NDArray[] dsplit(NumSharp.NDArray ary, int indices_or_sections) | NumSharp.NDArray[] dsplit(NumSharp.NDArray ary, int[] indices)",src/NumSharp.Core/Manipulation/np.dsplit.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Manipulation/np.dsplit.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.dsplit.html
numpy.dstack,numpy,np,Shape manipulation,dstack,function,True,available,exact,declared,(tup),NumSharp.np.dstack,NumSharp.NDArray dstack(params NumSharp.NDArray[] tup),src/NumSharp.Core/Creation/np.dstack.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Creation/np.dstack.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.dstack.html
numpy.dtype,numpy,np,Types,dtype,class,False,available,exact,declared,"(dtype, align=False, copy=False, **kwargs)",NumSharp.np.dtype,NumSharp.DType dtype(string dtype),src/NumSharp.Core/Creation/np.dtype.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Creation/np.dtype.cs,False,,
numpy.dtypes,numpy,np,Namespaces,dtypes,module,False,missing,missing,missing,This module is home to specific dtypes related functionality and their classes.,,,,,False,,
numpy.e,numpy,np,Types & constants,e,constant,False,available,exact,declared,"Convert a string or number to a floating-point number, if possible.",NumSharp.np.e,double e { get; },src/NumSharp.Core/APIs/np.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/APIs/np.cs,False,,
numpy.ediff1d,numpy,np,Math,ediff1d,function,True,available,exact,declared,"(ary, to_end=None, to_begin=None)",NumSharp.np.ediff1d,"NumSharp.NDArray ediff1d(NumSharp.NDArray ary, object to_end = null, object to_begin = null)",src/NumSharp.Core/Math/np.ediff1d.cs,https://github.com/SciSharp/NumSharp/blob/master/src/NumSharp.Core/Math/np.ediff1d.cs,False,,https://numpy.org/doc/stable/reference/generated/numpy.ediff1d.html
numpy.einsum,numpy,np,Linear algebra,einsum,function,True,missing,missing,missing,"(*operands, out=None, optimize=False, **kwargs)",,,,,False,,https://numpy.org/doc/stable/reference/generated/numpy.einsum.html
